7,49,73,58,30,72,44,78,23,9,40,65,92,42,87,3,0,0
27,29,40,12,3,69,9,57,60,33,99,78,16,35,97,26,12,0,0
67,10,33,79,49,79,21,67,72,93,36,85,45,28,91,94,57,0,0
1,53,8,44,68,90,24,96,30,3,22,66,49,24,1,53,77,0,0
8,28,33,98,81,35,13,65,14,63,36,25,69,15,94,29,1,0,0
17,95,5,4,51,98,88,23,5,82,52,66,16,37,38,44,1,0,0
97,71,28,37,58,77,97,94,4,9,31,45,75,35,98,42,99,0,0
68,12,60,57,94,8,95,68,13,30,6,62,42,65,82,52,67,0,0
21,95,12,71,1,90,31,38,57,16,90,40,79,35,6,72,98,0,0
95,19,54,23,89,60,5,26,23,6,13,70,38,94,20,44,66,0,0
34,26,94,63,38,44,90,50,59,23,47,85,17,72,39,47,85,0,0
96,85,23,20,44,68,35,15,25,34,42,11,79,52,44,95,18,0,0
96,92,15,91,33,69,97,53,47,25,10,62,11,8,77,61,25,0,0
35,68,95,76,67,39,74,31,56,1,72,60,94,84,55,89,7,0,0
15,93,69,80,55,55,6,63,2,76,8,49,31,44,38,8,97,0,0
51,49,3,31,31,14,19,75,9,80,29,23,54,60,37,45,17,0,0
25,0,56,64,97,48,4,50,50,76,12,54,97,4,81,48,65,0,0
78,99,9,29,53,83,47,7,73,22,5,76,53,24,30,66,0,0,0
44,70,85,16,98,55,33,57,76,78,66,57,11,78,14,19,37,0,0
33,91,20,62,33,97,31,88,89,73,77,4,58,0,54,60,15,0,0
47,80,30,55,46,7,38,0,26,35,57,13,14,93,60,54,18,0,0
57,85,29,15,63,2,17,43,19,67,47,69,95,3,73,3,48,0,0
85,58,59,6,30,24,32,73,3,97,20,50,31,80,3,0,20,0,0
33,58,3,76,50,34,80,79,32,74,49,42,49,71,10,79,83,0,0
70,40,23,50,71,29,18,46,99,30,21,76,24,44,58,96,71,0,0
64,60,98,51,40,3,51,1,5,80,18,74,49,13,20,25,12,0,0
83,88,17,8,50,24,95,57,11,90,66,10,93,53,65,60,42,0,0
3,52,7,41,10,0,99,27,71,87,14,25,41,17,48,42,15,0,0
74,45,73,20,11,39,54,5,29,53,89,66,56,4,60,98,92,0,0
20,16,80,67,52,39,98,1,11,16,91,71,28,71,61,45,20,0,0
40,58,53,27,50,11,63,94,33,27,27,95,31,42,16,6,15,0,0
24,1,97,61,3,24,8,36,81,15,10,16,5,73,81,20,91,0,0
69,65,27,36,28,25,84,67,49,76,46,76,66,67,20,84,91,0,0
10,58,11,44,18,18,34,25,67,89,18,14,25,18,28,29,34,0,0
27,40,54,40,96,35,83,48,65,11,52,64,76,37,75,45,10,0,0
15,92,10,47,37,99,47,15,93,79,29,64,79,1,25,89,58,0,0
33,0,89,70,17,46,38,43,38,36,21,19,96,47,88,59,87,0,0
35,35,12,84,89,84,34,67,19,15,45,76,61,25,19,31,3,0,0
98,98,39,4,3,79,65,91,7,24,65,21,54,6,50,3,32,0,0
32,41,54,77,17,0,89,65,47,22,79,17,16,48,62,29,39,0,0
8,3,57,61,52,66,21,57,96,55,30,94,55,21,12,93,27,0,0
32,44,91,98,52,56,70,3,39,14,99,66,35,21,43,52,86,0,0
19,50,10,23,69,5,43,11,31,92,16,99,71,39,70,36,91,0,0
57,33,28,77,10,83,76,89,91,34,11,4,26,91,90,22,64,0,0
90,84,13,41,27,79,84,37,70,61,81,65,2,32,32,54,59,0,0
47,77,62,10,19,50,77,41,36,20,99,12,59,56,90,52,48,0,0
14,44,18,50,1,95,21,31,1,45,61,57,10,28,5,73,37,0,0
69,96,3,21,75,18,0,89,62,54,63,43,89,50,35,15,64,0,0
94,63,58,52,92,16,14,20,60,50,68,41,47,96,87,1,34,0,0
28,71,48,75,53,71,29,93,19,71,20,64,79,30,10,80,13,0,0
42,38,82,44,28,93,75,80,0,96,47,70,87,43,33,52,61,0,0
24,0,80,78,57,23,98,14,45,62,9,10,49,18,90,55,43,0,0
55,85,34,75,21,51,26,51,59,83,14,37,79,98,0,37,85,0,0
78,84,42,15,60,67,40,7,66,28,62,63,69,90,23,78,13,0,0
61,10,40,78,0,94,7,56,51,86,31,44,39,76,84,52,8,0,0
14,54,19,28,71,70,63,47,24,43,54,8,81,52,88,63,59,0,0
19,79,56,61,87,53,99,88,44,80,66,83,74,36,9,67,34,0,0
39,84,51,49,66,67,10,89,27,73,81,95,36,74,35,31,72,0,0
28,98,70,87,97,89,46,90,11,12,63,12,81,51,30,21,13,0,0
28,50,0,59,54,92,94,30,32,59,77,79,32,72,83,81,53,0,0
22,21,56,18,91,0,96,20,4,99,29,44,75,70,16,99,80,0,0
18,88,52,28,0,62,40,49,85,83,15,59,78,59,61,82,48,0,0
54,40,81,70,28,51,44,69,95,69,10,72,23,25,19,50,31,0,0
43,46,69,70,94,10,92,64,24,61,19,20,62,61,25,34,49,0,0
90,22,60,93,28,22,81,66,68,23,22,39,17,93,64,78,56,0,0
71,41,55,36,89,28,20,2,12,16,47,46,51,72,11,23,36,0,0
5,7,33,66,53,12,25,40,53,57,33,95,39,51,58,94,60,0,0
38,29,75,98,92,33,62,76,36,46,73,64,84,92,19,42,28,0,0
59,62,45,16,27,72,48,0,70,98,92,45,28,0,43,92,63,0,0
83,72,1,9,21,86,13,69,31,57,19,86,56,16,54,54,14,0,0
15,37,66,97,77,60,12,91,31,74,63,77,24,84,33,50,27,0,0
99,29,9,44,64,51,12,79,34,7,83,0,59,10,53,91,21,0,0
25,53,29,96,53,61,58,91,63,20,68,87,26,72,19,41,4,0,0
51,92,45,70,74,62,76,17,26,13,44,71,79,35,29,88,48,0,0
78,17,23,38,8,29,26,68,6,99,55,29,76,88,96,19,64,0,0
37,16,18,91,83,98,20,48,61,51,18,77,46,61,78,28,63,0,0
35,6,8,68,79,19,23,77,92,53,78,53,95,71,75,4,62,0,0
32,19,31,35,68,68,10,34,70,78,65,45,79,75,27,87,63,0,0
37,66,34,83,75,84,55,56,99,64,93,86,33,24,47,94,30,0,0
67,65,10,82,5,14,52,41,85,91,6,60,60,12,3,30,85,0,0
0,85,67,84,88,0,86,0,95,99,2,28,83,17,36,2,89,0,0
